designer,url,temporada,fecha_scrapped,fuente,Year
richert-beil,https://assets.vogue.com/photos/65c36634095983f9e7084876/master/w_2560%2Cc_limit/00011-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663636b4e0759ccfb625/master/w_2560%2Cc_limit/00012-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c36637f627ae17d3a68ddd/master/w_2560%2Cc_limit/00013-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c36638ec202b0bc2fa222c/master/w_2560%2Cc_limit/00014-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663afc39983cba99d145/master/w_2560%2Cc_limit/00015-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663b36151dcd7037a148/master/w_2560%2Cc_limit/00016-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663c155cd73786d73e95/master/w_2560%2Cc_limit/00017-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663e177862a0bf68575f/master/w_2560%2Cc_limit/00018-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3663e177862a0bf68575f/master/w_2560%2Cc_limit/00018-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcca02605c4438137d3f/master/w_2560%2Cc_limit/00002-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dccc7d69089a36c75319/master/w_2560%2Cc_limit/00003-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dccd9428f0bbc8b54bf2/master/w_2560%2Cc_limit/00004-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dccefc47d55200595f28/master/w_2560%2Cc_limit/00005-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dccfe529f4a03cf4f729/master/w_2560%2Cc_limit/00006-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd1bcba8ba4c78cf1db/master/w_2560%2Cc_limit/00007-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
