designer,page_url,year,temporada,city,tipo,url
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/b655/cb38/5361/8b52/f100/6495/6c88/1c9e/3c13/81e2/81e2.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/b986/1616/8c24/d617/9d22/bfec/8203/346a/1179/946c/946c.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/8c45/835a/cdff/e526/3d13/d343/7c35/ad11/4ac2/c98e/c98e.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0c66/0d79/1887/94c3/d17f/608d/d8ea/0a48/e03c/b60f/b60f.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/c94f/6348/ddc6/1c37/8382/9f12/5486/0d8a/5150/6b1c/6b1c.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/62db/db20/7020/436d/f1a3/0ac9/0a80/1a6a/9df2/63bc/63bc.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/6bdf/f281/c031/f5ac/027a/bfbf/b435/cef5/38bd/fa95/fa95.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/71b5/95ec/13b1/d78a/b0d1/f6e9/a4de/e6c9/f92f/b39a/b39a.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/b362/ccc1/0dca/0d10/8287/2381/81be/0ea7/0a47/5028/5028.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/a4c4/c1bc/aeb9/3b37/1428/a52a/cbb8/d052/822e/5a04/5a04.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4ae0/51e9/0237/3cf8/1992/4e81/e738/0c5e/f284/80e2/80e2.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9dab/4de1/92d4/cff4/5f17/7676/5d62/dc54/265f/7e89/7e89.jpg"
